date,Low,2,3,4,5,6,7,8,9,High,RF
193209,0.0185,-0.0275,-0.0241,-0.0054,-0.0516,-0.07,-0.0656,-0.067,-0.1226,-0.2082,0.03
193210,-0.1378,-0.2009,-0.1377,-0.1745,-0.1859,-0.1569,-0.1497,-0.1158,-0.1818,-0.216,0.02
193211,0.0235,-0.0783,-0.0759,-0.0954,-0.1052,-0.0786,-0.084,-0.0643,-0.0392,-0.0857,0.02
193212,-0.0272,-0.0551,-0.0423,-0.0226,-0.0323,0.0099,-0.0134,-0.1044,-0.0016,-0.0967,0.01
193301,0.1436,0.0441,0.0398,0.025,0.0208,0.0069,0.0246,0.0248,0.0082,0.0069,0.01
193302,-0.088,-0.1093,-0.1551,-0.1645,-0.1902,-0.1803,-0.1523,-0.1479,-0.1927,-0.2142,-0.03
193303,0.3126,0.0859,0.1148,0.0806,0.1274,0.0883,0.0764,0.0455,0.0501,0.0374,0.04
193304,0.7081,0.4946,0.5077,0.2888,0.4238,0.4671,0.5936,0.6052,0.5289,0.4528,0.1
193305,0.8662,0.6256,0.6427,0.5912,0.5422,0.4497,0.616,0.6494,0.5128,0.5641,0.04
193306,0.1447,0.194,0.1863,0.2371,0.2734,0.2703,0.2787,0.1823,0.2899,0.224,0.02
193307,-0.0092,-0.0301,-0.073,-0.0873,-0.1265,-0.1028,-0.1111,-0.1619,-0.1064,-0.1281,0.02
193308,0.2082,0.152,0.1466,0.1076,0.1012,0.1168,0.0753,0.0866,0.0997,0.0448,0.03
193309,-0.1342,-0.1566,-0.1584,-0.1822,-0.1563,-0.1328,-0.1691,-0.1479,-0.147,-0.134,0.02
193310,-0.0544,-0.1276,-0.1312,-0.1358,-0.1127,-0.0873,-0.1091,-0.1222,-0.1047,-0.1032,0.01
193311,0.1004,0.1106,0.0678,0.088,0.0874,0.085,0.0456,0.0445,0.0211,0.0083,0.02
193312,0.0529,0.0094,0.0173,0.0066,-0.0076,0.0249,0.0015,0.0264,0.0372,0.021,0.02
193401,0.592,0.4065,0.3717,0.2117,0.3272,0.211,0.2484,0.2654,0.2865,0.2831,0.05
193402,0.0337,-0.0096,-0.0207,0.0083,0.0313,0.018,-0.0068,0.013,0.0368,-0.0041,0.02
193403,0.059,0.0017,0.0034,0.0096,0.0046,-0.0055,0.024,-0.0013,-0.0212,-0.0035,0.02
193404,0.0618,0.0107,-0.0228,0.012,-0.0147,-0.0205,-0.0062,-0.0088,0.0141,-0.0231,0.01
193405,-0.1352,-0.1416,-0.1279,-0.1184,-0.0984,-0.098,-0.0897,-0.0697,-0.1007,-0.1084,0.01
193406,-0.0217,-0.0115,-0.008,-0.0102,0.0058,0.0175,0.0121,0.0171,0.0053,0.0129,0.01
193407,-0.2054,-0.2425,-0.2032,-0.2076,-0.182,-0.1837,-0.1606,-0.1402,-0.1815,-0.1711,0.01
193408,0.2246,0.1912,0.1319,0.155,0.1195,0.0489,0.0436,0.0454,0.0276,-0.0044,0.01
193409,0.0016,-0.0195,-0.0041,-0.0116,0.0025,-0.0056,-0.0084,-0.0188,-0.038,-0.0171,0.01
193410,-0.0102,-0.0245,-0.0284,-0.0106,-0.0408,-0.0313,0.0016,-0.0154,-0.027,-0.0026,0.01
193411,0.1471,0.1428,0.1251,0.1143,0.1576,0.1509,0.1023,0.1244,0.1631,0.0587,0.01
193412,0.0331,-0.0031,0.0222,0.0137,-0.0165,0.0156,0.0229,0.0333,0.0176,0.0069,0.01
193501,0.0537,-0.0358,-0.0337,-0.0559,-0.0107,-0.0535,-0.0039,-0.0578,-0.042,-0.0819,0.01
193502,-0.0518,-0.0836,-0.0534,-0.0381,-0.0732,-0.0395,-0.0234,0.0005,-0.0529,-0.147,0.02
193503,-0.0668,-0.1348,-0.0968,-0.1,-0.0889,-0.0522,-0.0571,-0.0373,-0.053,-0.0562,0.01
193504,0.184,0.1342,0.106,0.1104,0.0809,0.088,0.064,0.0712,0.0925,0.081,0.01
193505,0.0712,0.0597,0.0519,0.0269,0.0288,0.0185,0.0196,0.0103,0.0142,-0.063,0.01
193506,0.026,0.0555,0.0316,0.0439,0.0384,0.0665,0.0427,0.0554,0.0341,0.0217,0.01
193507,0.1626,0.1293,0.1202,0.0832,0.0903,0.0798,0.1033,0.1217,0.1249,0.0828,0.01
193508,0.1594,0.0587,0.0696,0.0523,0.0679,0.0614,0.1028,0.1101,0.1012,0.0568,0.01
193509,0.049,0.037,0.0359,0.0352,0.0255,0.0354,0.0322,0.0435,0.0138,-0.0684,0.01
193510,0.1635,0.0888,0.079,0.0939,0.0783,0.062,0.0373,0.0932,0.0875,0.0627,0.01
193511,0.3673,0.1507,0.2372,0.088,0.1117,0.0737,0.1276,0.1156,0.084,0.1082,0.02
193512,0.0997,0.0421,0.0396,0.0476,0.0839,0.0387,0.075,0.1205,0.0634,-0.0183,0.01
193601,0.367,0.106,0.1045,0.1347,0.093,0.1266,0.1303,0.1206,0.1484,0.1636,0.01
193602,0.0532,0.0473,0.0535,0.046,0.0555,0.0435,0.0444,0.0541,0.0285,0.0004,0.01
193603,0.0424,0.0234,0.0208,-0.007,0.0209,0.0164,0.0026,0.0043,0.0007,-0.033,0.02
193604,-0.1969,-0.1142,-0.1254,-0.1202,-0.1218,-0.1095,-0.0984,-0.0932,-0.1217,-0.1385,0.02
193605,0.1069,0.0878,0.0594,0.0476,0.0432,0.0421,0.0256,0.0425,0.0332,0.028,0.02
193606,0.0132,0.0022,0.0146,-0.0045,-0.0002,-0.0121,-0.005,0.002,-0.0022,-0.0171,0.03
193607,0.1016,0.1215,0.0683,0.0868,0.0572,0.0564,0.0684,0.0695,0.0805,0.0777,0.01
193608,0.0327,0.0274,0.0262,0.0113,0.0054,0.0313,0.0178,0.0205,0.0193,0.0257,0.02
193609,0.0751,0.0353,0.0329,0.005,0.0476,0.0233,0.0247,0.0336,0.0108,0.0451,0.01
193610,0.065,0.068,0.0659,0.0727,0.0493,0.0629,0.0747,0.0491,0.0624,0.0753,0.02
